work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,is_outlier,seniority,work_setting,company_size_label,job_category,salary_band
2020,MI,FT,DATA SCIENTIST,70000,EUR,79833,DE,0,DE,L,0,MID,On-site,Large,Data Science,50K-100K
2020,SE,FT,MACHINE LEARNING SCIENTIST,260000,USD,260000,JP,0,JP,S,0,SENIOR,On-site,Small,Machine Learning,200K+
2020,SE,FT,BIG DATA ENGINEER,85000,GBP,109024,GB,50,GB,M,0,SENIOR,Hybrid,Medium,Data Engineering,100K-150K
2020,MI,FT,PRODUCT DATA ANALYST,20000,USD,20000,HN,0,HN,S,0,MID,On-site,Small,Data Analytics,<50K
2020,SE,FT,MACHINE LEARNING ENGINEER,150000,USD,150000,US,50,US,L,0,SENIOR,Hybrid,Large,Machine Learning,150K-200K
2020,EN,FT,DATA ANALYST,72000,USD,72000,US,100,US,L,0,JUNIOR,Remote,Large,Data Analytics,50K-100K
2020,SE,FT,LEAD DATA SCIENTIST,190000,USD,190000,US,100,US,S,0,SENIOR,Remote,Small,Data Science,150K-200K
2020,MI,FT,DATA SCIENTIST,11000000,HUF,35735,HU,50,HU,L,0,MID,Hybrid,Large,Data Science,<50K
2020,MI,FT,BUSINESS DATA ANALYST,135000,USD,135000,US,100,US,L,0,MID,Remote,Large,Data Analytics,100K-150K
2020,SE,FT,LEAD DATA ENGINEER,125000,USD,125000,NZ,50,NZ,S,0,SENIOR,Hybrid,Small,Data Engineering,100K-150K
2020,EN,FT,DATA SCIENTIST,45000,EUR,51321,FR,0,FR,S,0,JUNIOR,On-site,Small,Data Science,50K-100K
2020,MI,FT,DATA SCIENTIST,3000000,INR,40481,IN,0,IN,L,0,MID,On-site,Large,Data Science,<50K
2020,EN,FT,DATA SCIENTIST,35000,EUR,39916,FR,0,FR,M,0,JUNIOR,On-site,Medium,Data Science,<50K
